brand,total,5*,4*,3*,2*,1*,
Cif,5,1,1,2,0,1,
Cif,22,15,4,0,0,3,
Cif,4,2,1,1,0,0,
Cif,3,2,0,1,0,0,
Cif,16,11,3,0,1,1,
Cif,5,3,0,2,0,0,
Cif,16,7,5,3,0,1,
Cif,10,6,3,1,0,0,
Cif,3,3,0,0,0,0,
Cif,5,3,0,0,0,2,
Cif,4,3,0,0,0,1,
Cif,8,6,1,1,0,0,
Cif,76,44,16,7,2,7,
Cif,14,7,1,2,3,1,
Cif,13,6,3,2,0,2,
Cif,28,17,6,4,0,1,
Cif,12,7,3,1,0,1,
Cif,19,10,7,2,0,0,
Cif,55,29,14,7,1,4,
Cif,5,3,1,1,0,0,
Cif,75,44,17,9,4,1,
Comfort,64,33,18,9,1,3,
Comfort,16,11,1,3,1,0,
Comfort,6,4,0,1,0,1,
Comfort,32,16,6,7,1,2,
Comfort,31,18,3,5,1,4,
Comfort,7,2,1,3,1,0,
Comfort,7,4,1,1,0,1,
Comfort,33,16,6,5,2,4,
Comfort,3,0,1,0,0,2,
Rin,33,23,1,1,1,7,
Rin,33,23,1,1,1,7,
Rin,22,8,6,2,1,5,
Rin,8,7,1,0,0,0,
Rin,44,23,9,4,2,6,
Rin,18,8,2,3,3,2,
Rin,6,4,0,1,0,1,
Rin,22,10,2,3,2,5,
Rin,14,7,3,0,1,3,
Rin,6,3,1,0,0,2,
Rin,24,18,5,0,0,1,
Rin,5,2,0,0,1,2,
Surf Excel,48,33,8,1,1,5,
Surf Excel,48,31,4,4,2,7,
Surf Excel,65,34,14,10,0,7,
Surf Excel,5,4,0,0,0,1,
Surf Excel,37,17,8,5,2,5,
Surf Excel,116,72,15,12,4,13,
Surf Excel,29,14,9,3,1,2,
Surf Excel,17,9,5,3,0,0,
Surf Excel,61,34,8,5,3,11,
Surf Excel,24,17,1,3,1,2,
Surf Excel,5,3,1,1,0,0,
Surf Excel,14,8,5,1,0,0,
Surf Excel,12,7,3,0,0,2,
Surf Excel,17,6,2,1,3,5,
Surf Excel,4,1,1,0,1,1,
Surf Excel,7,3,2,0,2,0,
Surf Excel,8,5,1,0,0,2,
Surf Excel,17,6,2,1,3,5,
Surf Excel,42,17,5,3,3,14,
Surf Excel,42,17,5,3,3,14,
Surf Excel,27,15,3,3,1,5,
Surf Excel,4,0,1,1,0,2,
Surf Excel,5,2,1,0,0,2,
Surf Excel,17,8,2,1,0,6,
Surf Excel,10,6,0,1,0,3,
Surf Excel,27,13,1,2,3,8,
Surf Excel,20,7,1,2,2,8,
Vim,19,13,2,2,1,1,
Vim,7,4,2,1,0,0,
Vim,23,17,3,1,0,2,
Vim,7,5,0,1,0,1,
Vim,31,16,6,3,1,5,
Vim,24,14,5,1,0,4,
Vim,3,2,1,0,0,0,
Vim,7,6,1,0,0,0,
Vim,9,7,1,1,0,0,
Axe,402,152,52,46,28,124,
Axe,510,256,86,46,35,87,
Axe,297,133,48,29,18,69,
Axe,79,47,5,7,5,15,
Axe,29,16,5,0,0,8,
Axe,9,5,1,1,0,2,
Axe,45,17,8,5,5,10,
Axe,14,7,4,2,0,1,
Axe,107,45,10,16,9,27,
Axe,74,29,12,10,4,19,
Axe,48,30,15,3,0,0,
Axe,5,3,0,0,0,2,
Axe,16,11,2,2,0,1,
Axe,4,2,2,0,0,0,
Axe,35,18,8,6,0,3,
Axe,3,3,0,0,0,0,
Axe,11,4,0,1,2,4,
Axe,2030,1212,466,194,68,90,
Axe,455,230,126,56,12,31,
Axe,4,1,1,0,1,1,
Dove,7601,4186,1739,775,314,587,
Dove,39,24,9,5,1,0,
Dove,3911,2357,940,367,110,137,
Dove,4108,2431,976,412,130,159,
Dove,4032,2367,996,420,109,140,
Dove,44,24,13,2,3,2,
Dove,37,24,6,2,2,3,
Dove,7722,5383,1575,487,108,169,
Dove,63,41,14,3,1,4,
Dove,4513,2596,1001,480,168,268,
Dove,8,4,2,1,0,1,
Dove,136,86,29,12,4,5,
Dove,1189,704,285,129,32,39,
Dove,723,437,160,72,22,32,
Dove,112,62,34,14,0,2,
Dove,52,28,11,8,2,3,
Dove,2787,1770,647,216,78,76,
Dove,3178,1862,687,338,118,173,
Dove,1017,579,237,109,44,48,
Lifebuoy,4,2,1,1,0,0,
Lifebuoy,8,6,0,0,1,1,
Lifebuoy,6,5,0,1,0,0,
Lifebuoy,5,2,0,2,0,1,
Lifebuoy,18,10,4,1,1,2,
Lifebuoy,22,15,3,3,1,0,
Lux,23,12,3,4,2,2,
Lux,804,498,189,72,20,25,
Lux,383,226,93,43,6,15,
Lux,281,159,66,38,4,14,
Lux,4,1,2,0,0,1,
Lux,7,2,0,2,0,3,
Lux,517,276,129,58,26,28,
Lux,4,1,0,0,1,2,
Lux,3,2,0,0,0,1,
Lux,3,2,0,0,1,0,
Lux,6,1,1,0,1,3,
Pepsodent,5,1,0,0,0,4,
Ponds,236,107,51,32,15,31,
Ponds,2043,1076,497,223,84,163,
Ponds,19,10,3,2,0,4,
Ponds,74,42,21,5,1,5,
Ponds,1855,1038,464,202,65,86,
Ponds,11,7,0,2,0,2,
Ponds,79,46,17,7,1,8,
Ponds,6,3,1,1,0,1,
Ponds,8,2,3,1,2,0,
Ponds,3,1,1,0,1,0,
Ponds,3,0,1,0,0,2,
Ponds,6810,3921,1621,706,232,330,
Ponds,2447,1516,549,222,58,102,
Sunsilk,4418,2665,945,465,150,193,
Sunsilk,2166,1233,458,274,86,115,
Sunsilk,1690,901,416,205,70,98,
Sunsilk,2771,1676,581,285,99,130,
Sunsilk,127,89,15,9,4,10,
Sunsilk,128,95,14,12,0,7,
Sunsilk,50,31,10,5,2,2,
Sunsilk,3,1,0,1,0,1,
Sunsilk,16,12,3,1,0,0,
Sunsilk,6,5,1,0,0,0,
Sunsilk,64,40,12,6,2,4,
Sunsilk,6,5,1,0,0,0,
Sunsilk,23,14,5,1,3,0,
Sunsilk,63,33,20,3,2,5,
Sunsilk,2003,1179,470,171,73,110,
TRESemme,9598,5319,2629,949,295,406,
TRESemme,249,129,50,26,15,29,
TRESemme,804,499,176,72,25,32,
TRESemme,1415,842,330,162,44,37,
TRESemme,1734,1003,431,152,58,90,
TRESemme,172,104,39,13,6,10,
TRESemme,589,335,141,66,20,27,
TRESemme,14,4,4,1,1,4,
TRESemme,3374,2026,817,329,94,108,
TRESemme,2466,1580,547,192,41,106,
TRESemme,1957,1099,511,219,56,72,
TRESemme,1119,646,270,111,44,48,
TRESemme,11,2,4,4,0,1,
TRESemme,9,7,1,0,1,0,
TRESemme,1927,1090,431,206,77,123,
TRESemme,474,264,96,38,20,56,
TRESemme,7,6,0,0,1,0,
TRESemme,38,17,12,3,1,5,
TRESemme,1570,915,406,157,31,61,
TRESemme,493,215,133,83,26,36,
