brand,total,5*,4*,3*,2*,1*,
Ariel,20,12,2,3,1,2,
Ariel,3,3,0,0,0,0,
Ariel,6,4,2,0,0,0,
Ariel,5,3,2,0,0,0,
Ariel,8,5,3,0,0,0,
Ariel,5,4,0,1,0,0,
Ariel,11,9,1,0,1,0,
Ariel,5,5,0,0,0,0,
Ariel,3,3,0,0,0,0,
Ariel,23,11,4,3,0,5,
Ariel,3,3,0,0,0,0,
Ariel,20,12,4,1,0,3,
Gillette,3534,2109,828,356,87,154,
Gillette,10821,6889,2641,839,188,264,
Gillette,6337,4048,1506,498,119,166,
Gillette,20,14,5,1,0,0,
Gillette,360,209,71,43,16,21,
Gillette,7019,4305,1709,613,159,233,
Gillette,1657,1076,384,101,37,59,
Gillette,4101,2442,1041,359,94,165,
Gillette,2794,1812,627,202,60,93,
Gillette,3484,2099,793,336,101,155,
Gillette,54,30,16,4,1,3,
Gillette,2371,1424,548,199,69,131,
Gillette,27,21,2,3,0,1,
Head & Shoulders,21042,12773,4620,1996,622,1031,
Head & Shoulders,2270,1350,534,227,80,79,
Head & Shoulders,12073,6933,2915,1190,434,601,
Head & Shoulders,9739,5645,2300,1028,306,460,
Head & Shoulders,7268,4136,1736,760,243,393,
Head & Shoulders,9739,5645,2300,1028,306,460,
Head & Shoulders,16287,9910,3637,1523,476,741,
Head & Shoulders,21042,12773,4620,1996,622,1031,
Head & Shoulders,6144,3603,1352,598,204,387,
Head & Shoulders,793,507,169,69,17,31,
Head & Shoulders,16287,9910,3637,1523,476,741,
Olay,5745,3134,1337,562,225,487,
Olay,5813,2983,1498,757,261,314,
Olay,3240,1812,770,327,106,225,
Olay,8108,4555,1920,896,300,437,
Olay,5197,2853,1212,528,225,379,
Olay,3625,1934,840,386,163,302,
Olay,1237,750,298,103,31,55,
Olay,36,21,8,4,0,3,
Olay,703,385,144,98,27,49,
Olay,1688,863,357,220,78,170,
Olay,11,5,3,3,0,0,
Olay,4,4,0,0,0,0,
Olay,613,367,154,44,24,24,
Olay,568,314,147,73,10,24,
Olay,1407,740,318,161,67,121,
Olay,476,268,110,45,19,34,
Olay,1013,576,241,105,44,47,
Olay,201,108,53,19,8,13,
Olay,1808,979,422,202,73,132,
Oral-B,2625,1437,612,316,92,168,
Oral-B,9,7,2,0,0,0,
Oral-B,1115,612,268,117,54,64,
Oral-B,522,293,121,57,18,33,
Oral-B,10,7,2,1,0,0,
Oral-B,4,3,0,1,0,0,
Oral-B,39,19,7,4,2,7,
Oral-B,4,2,2,0,0,0,
Oral-B,4,4,0,0,0,0,
Oral-B,8,4,2,2,0,0,
Pampers,16056,9884,3727,1347,441,657,
Pampers,34452,21097,7741,2923,969,1722,
Pampers,56641,34616,12448,4990,1701,2886,
Pampers,34648,20508,7837,3218,1144,1941,
Pampers,34648,20508,7837,3218,1144,1941,
Pampers,34648,20508,7837,3218,1144,1941,
Pampers,6167,4245,1240,363,108,211,
Pampers,30795,17842,7422,2917,990,1624,
Pampers,30795,17842,7422,2917,990,1624,
Pampers,30795,17842,7422,2917,990,1624,
Pampers,657,393,148,63,22,31,
Pampers,2949,1800,632,292,85,140,
Pampers,22139,13296,4797,2074,737,1235,
Pampers,22139,13296,4797,2074,737,1235,
Pampers,397,245,88,36,12,16,
Pampers,2707,1914,539,132,46,76,
Pampers,28805,18411,6260,2173,713,1248,
Pampers,2757,1822,593,180,44,118,
Pampers,419,249,111,37,9,13,
Pampers,4390,2907,952,286,89,156,
Pampers,8863,5284,1936,819,343,481,
Pampers,8863,5284,1936,819,343,481,
Pampers,7021,4708,1474,440,129,270,
Pampers,56641,34616,12448,4990,1701,2886,
Pampers,2356,1544,480,184,54,94,
Pampers,6707,4463,1437,401,128,278,
Pampers,4464,2960,959,302,90,153,
Pampers,4464,2960,959,302,90,153,
Pampers,7021,4708,1474,440,129,270,
Pampers,7021,4708,1474,440,129,270,
Pampers,106,74,25,6,0,1,
Pampers,1525,1019,311,92,34,69,
Pampers,2295,1599,464,119,34,79,
Pantene,10,4,3,1,1,1,
Pantene,4140,2633,904,352,110,141,
Pantene,32,22,7,1,2,0,
Pantene,4,3,0,1,0,0,
Pantene,8,5,3,0,0,0,
Pantene,4,3,0,0,1,0,
Pantene,27,19,4,3,1,0,
Pantene,1111,648,275,109,32,47,
Pantene,7,5,0,1,0,1,
Pantene,91,53,23,5,2,8,
Pantene,28,16,4,3,2,3,
Pantene,3,3,0,0,0,0,
Pantene,402,225,82,59,17,19,
Pantene,65,40,11,4,2,8,
Pantene,28,16,5,5,1,1,
Pantene,53,27,10,5,1,10,
Pantene,35,19,6,5,2,3,
Pantene,5,1,2,0,0,2,
Pantene,37,24,5,3,2,3,
Tide,29,17,2,5,0,5,
Tide,11,8,0,0,0,3,
Tide,23,12,4,2,2,3,
Tide,189,80,39,24,16,30,
Tide,29,14,4,1,0,10,
Tide,3,2,0,0,1,0,
Tide,5,1,1,1,0,2,
Vicks,33,11,14,4,0,4,
Vicks,2191,1368,475,194,76,78,
Whisper,7742,4986,1801,555,170,230,
Whisper,1670,1077,337,157,46,53,
Whisper,5074,3438,1012,367,110,147,
Whisper,4374,2711,934,435,138,156,
Whisper,1516,946,333,121,51,65,
Whisper,559,389,104,41,8,17,
Whisper,603,368,131,59,17,28,
Whisper,12,8,2,0,1,1,
Whisper,20,11,4,2,1,2,
Whisper,63,41,8,8,3,3,
Whisper,44,25,10,4,4,1,
Whisper,24,15,2,4,1,2,
Whisper,408,249,77,42,12,28,
Whisper,285,167,64,26,9,19,
Whisper,77,52,7,9,4,5,
Whisper,15,13,1,0,0,1,
