Company,User-Content,Industry,
Yes Bank,1,banks-private-sector,
Jubilant Life,3,pharmaceuticals,
Dewan Housing,3,finance-housing,
Rel Capital,3,finance-investments,
ITC,3,cigarettes,
Reliance Infra,3,power-generation-distribution,
Reliance,1,refineries,
SBI,1,banks-public-sector,
Indiabulls Hsg,1,finance-housing,
Tata Motors,1,auto-lcvs-hcvs,
Bajaj Finance,1,finance-leasing-hire-purchase,
IndusInd Bank,1,banks-private-sector,
TCS,2,computers-software,
Kotak Mahindra,1,banks-private-sector,
Infosys,3,computers-software,
Tata Steel,3,steel-large,
ICICI Bank,1,banks-private-sector,
PNB,1,banks-public-sector,
Bank of Baroda,1,banks-public-sector,
HDFC Bank,1,banks-private-sector,
Wipro,3,computers-software,
Zee Entertain,3,media-entertainment,
Larsen,3,infrastructure-general,
Bata India,1,leather-products,
Motherson Sumi,3,auto-ancillaries,
Axis Bank,1,banks-private-sector,
Apollo Hospital,1,hospitals-medical-services,
Asian Paints,2,paints-varnishes,
Maruti Suzuki,1,auto-cars-jeeps,
Jain Irrigation,3,plastics,
Shriram Trans,3,finance-leasing-hire-purchase,
HDFC,1,finance-housing,
HCL Tech,2,computers-software,
Power Grid Corp,3,power-generation-distribution,
Sun Pharma,3,pharmaceuticals,
Reliance Power,3,power-generation-distribution,
Titan Company,2,miscellaneous,
Bank of India,1,banks-public-sector,
UltraTechCement,3,cement-major,
HUL,3,personal-care,
Dr Reddys Labs,3,pharmaceuticals,
Sun TV Network,3,media-entertainment,
Adani Enterpris,2,trading,
Biocon,3,pharmaceuticals,
HPCL,4,refineries
GAIL,3,oil-drilling-and-exploration,
Ashok Leyland,2,auto-lcvs-hcvs,
Adani Ports,3,infrastructure-general,
Jubilant Food,3,miscellaneous,
DLF,2,construction-contracting-real-estate
BHEL,3,infrastructure-general,
Interglobe Avi,3,transport-logistics,
Canara Bank,1,banks-public-sector,
JSW Steel,3,steel-large,
Dish TV,1,media-entertainment,
Hero Motocorp,1,auto-2-3-wheelers,
RBL Bank,1,banks-private-sector,
Voltas,1,diversified,
Piramal Enter,3,pharmaceuticals,
Jindal Steel,3,steel-sponge-iron,
BPCL,3,refineries,
Vakrangee,3,computers-software-medium-small,
NCC,3,construction-contracting-civil,
Vodafone Idea,1,telecommunications-service,
Mindtree,3,computers-software,
Union Bank,1,banks-public-sector,
ONGC,3,oil-drilling-and-exploration,
Tech Mahindra,3,computers-software,
Power Finance,3,finance-term-lending-institutions,
IOC,4,refineries,
L&T Finance,2,finance-investments,
Aurobindo Pharm,3,pharmaceuticals,
Dabur India,5,personal-care
Tata Global Bev,3,plantations-tea-coffee,
Bajaj Finserv,1,finance-investments,
Vedanta,3,mining-minerals,
M&M,1,auto-cars-jeeps,
Cipla,3,pharmaceuticals,
Suzlon Energy,3,power-generation-distribution,
Britannia,3,food-processing,
Coal India,3,mining-minerals,
Hindalco,3,aluminium,
Bharti Airtel,1,telecommunications-service,
Federal Bank,3,banks-private-sector,
SAIL,3,steel-large,
Adani Power,1,power-generation-distribution,
Grasim,3,diversified,
REC,3,finance-term-lending-institutions,
SRF,3,textiles-manmade,
ACC,3,cement-major,
TML-D,3,miscellaneous,
Pidilite Ind,3,chemicals,
Rajesh Exports,3,diamond-cutting-jewellery-precious-metals,
Lupin,3,pharmaceuticals,
Bharat Elec,3,electricals,
Eicher Motors,2,auto-lcvs-hcvs,
Bharti Infratel,3,telecommunications-equipment,
Wockhardt,2,pharmaceuticals,
M&M Financial,3,finance-leasing-hire-purchase,
ICICI Prudentia,3,finance-general
NTPC,3,power-generation-distribution,
Muthoot Finance,3,finance-investments,
Ambuja Cements,3,cement-major,
Havells India,1,electric-equipment,
Bajaj Auto,3,auto-2-3-wheelers,
Cadila Health,3,pharmaceuticals,
Karnataka Bank,1,banks-private-sector,
Siemens,3,infrastructure-general,
IDFC First Bank,1,banks-private-sector,
IRB Infra,3,infrastructure-general,
Balkrishna Ind,3,tyres,
