Company,Industry,User-Content
Hindalco,aluminium,
NALCO,aluminium,
PG Foils,aluminium,
Hind Aluminium,aluminium,
Avanti Feeds,aquaculture,
Coastal Corp,aquaculture,
Shantanu Sheo,aquaculture,
Kings Infra,aquaculture,
Bajaj Auto,auto-2-3-wheelers,
Mah Scooters,auto-2-3-wheelers,
Hero Motocorp,auto-2-3-wheelers,
TVS Motor,auto-2-3-wheelers,
Endurance Techn,auto-2-3-wheelers,
Majestic Auto,auto-2-3-wheelers,
Atul Auto,auto-2-3-wheelers,
Kinetic Eng,auto-2-3-wheelers,
Maruti Suzuki,auto-cars-jeeps,
M&M,auto-cars-jeeps,
Tata Motors,auto-lcvs-hcvs,
Eicher Motors,auto-lcvs-hcvs,
Ashok Leyland,auto-lcvs-hcvs,
Force Motors,auto-lcvs-hcvs,
Escorts,auto-tractors,
HMT,auto-tractors,
VST Tillers,auto-tractors,
Motherson Sumi,auto-ancillaries,
Bosch,auto-ancillaries,
Exide Ind,auto-ancillaries,
Minda Ind,auto-ancillaries,
Castex Tech,auto-ancillaries,
Suprajit Eng,auto-ancillaries,
Minda Corp,auto-ancillaries,
WABCO India,auto-ancillaries,
Sundaram-Clayto,auto-ancillaries,
Munjal Showa,auto-ancillaries,
India Nippon,auto-ancillaries,
ZF Steering Gea,auto-ancillaries,
UCAL Fuel,auto-ancillaries,
Banco Products,auto-ancillaries,
Precision Camsh,auto-ancillaries,
Pricol,auto-ancillaries,
Lumax Auto Tech,auto-ancillaries,
Setco Auto,auto-ancillaries,
Rico Auto,auto-ancillaries,
IST Ltd,auto-ancillaries,
JBM Auto,auto-ancillaries,
Sharda Motor,auto-ancillaries,
Autoline Ind,auto-ancillaries,
Sandhar Technol,auto-ancillaries,
LG Balakrishnan,auto-ancillaries,
Munjal Auto Ind,auto-ancillaries,
Talbros Auto,auto-ancillaries,
PPAP Automotive,auto-ancillaries,
Gabriel India,auto-ancillaries,
Rajratan Global,auto-ancillaries,
Harita Seating,auto-ancillaries,
Amara Raja Batt,auto-ancillaries,
Jay BharatMarut,auto-ancillaries,
Porwal Auto,auto-ancillaries,
Auto Corp Goa,auto-ancillaries,
JMT Auto,auto-ancillaries,
Lumax Inds,auto-ancillaries,
JTEKT India ,auto-ancillaries,
Frontier Spring,auto-ancillaries,
Subros,auto-ancillaries,
Machino Plastic,auto-ancillaries,
Rane Engine,auto-ancillaries,
Rane Madras,auto-ancillaries,
Rane Brake,auto-ancillaries,
Jamna Auto,auto-ancillaries,
Triton Valves,auto-ancillaries,
Steel Str Wheel,auto-ancillaries,
Hind Hardy,auto-ancillaries,
Remsons Ind,auto-ancillaries,
Talbros Eng,auto-ancillaries,
Sundaram Brake,auto-ancillaries,
Him Teknoforge ,auto-ancillaries,
GNA Axles,auto-ancillaries,
HDFC Bank,banks-private-sector,
ICICI Bank,banks-private-sector,
Axis Bank,banks-private-sector,
Yes Bank,banks-private-sector,
Kotak Mahindra,banks-private-sector,
IDFC First Bank,banks-private-sector,
IndusInd Bank,banks-private-sector,
StanChart PLC,banks-private-sector,
Federal Bank,banks-private-sector,
JK Bank,banks-private-sector,
South Ind Bk,banks-private-sector,
Karur Vysya,banks-private-sector,
RBL Bank,banks-private-sector,
Karnataka Bank,banks-private-sector,
Lakshmi Vilas,banks-private-sector,
Bandhan Bank,banks-private-sector,
City Union Bank,banks-private-sector,
DCB Bank,banks-private-sector,
Dhanlaxmi Bank,banks-private-sector,
SBI,banks-public-sector,
PNB,banks-public-sector,
Bank of Baroda,banks-public-sector,
Bank of India,banks-public-sector,
Canara Bank,banks-public-sector,
Union Bank,banks-public-sector,
Central Bank,banks-public-sector,
IDBI Bank,banks-public-sector,
Syndicate Bank,banks-public-sector,
Indian Bank,banks-public-sector,
UCO Bank,banks-public-sector,
Corporation Bk,banks-public-sector,
Oriental Bank,banks-public-sector,
IOB,banks-public-sector,
Allahabad Bank,banks-public-sector,
Andhra Bank,banks-public-sector,
United Bank,banks-public-sector,
Bank of Mah,banks-public-sector,
Punjab & Sind,banks-public-sector,
Timken,bearings,
Bimetal Bearing,bearings,
SKF India,bearings,
NRB Bearings,bearings,
SNL Bearings,bearings,
NRB Industrial,bearings,
Austin Eng,bearings,
United Spirits,breweries-distilleries,
Empee Distiller,breweries-distilleries,
GM Breweries,breweries-distilleries,
Radico Khaitan,breweries-distilleries,
IFB Agro,breweries-distilleries,
Som Distillerie,breweries-distilleries,
Khoday India,breweries-distilleries,
Tilaknagar Ind,breweries-distilleries,
United Brewerie,breweries-distilleries,
Jagatjit Ind,breweries-distilleries,
Globus Spirits,breweries-distilleries,
Universal Cable,cables-power-others,
Polycab,cables-power-others,
KEI Industries,cables-power-others,
Jigar Cables,cables-power-others,
Finolex Cables,cables-telephone,
Sterlite Techno,cables-telephone,
Vindhya Telelin,cables-telephone,
Aksh Optifibre,cables-telephone,
Birla Cable,cables-telephone,
Mahindra CIE,castings-forgings,
Bharat Forge,castings-forgings,
AIA Engineering,castings-forgings,
Electrosteel,castings-forgings,
Metalyst Forgin,castings-forgings,
Nelcast,castings-forgings,
RamkrishnaForge,castings-forgings,
Alicon Castallo,castings-forgings,
Pradeep Metals,castings-forgings,
National Fittin,castings-forgings,
Uni Abex,castings-forgings,
Invest and Prec,castings-forgings,
Simplex Casting,castings-forgings,
Steelcast,castings-forgings,
Carnation Ind,castings-forgings,
Ambuja Cements,cement-major,
UltraTechCement,cement-major,
Shree Cements,cement-major,
Birla Corp,cement-major,
J. K. Cement,cement-major,
Rain Industries,cement-major,
JK Lakshmi Cem,cement-major,
India Cements,cement-major,
Prism Cement,cement-major,
Dalmia Bharat,cement-major,
ACC,cement-major,
Ramco Cements,cement-major,
Guj Sidhee Cem,cement-major,
Mangalam Cement,cement-major,
Barak Vally Cem,cement-major,
Panyam Cements,cement-major,
KCP,cement-major,
Saurashtra Cem,cement-major,
Star Cement,cement-major,
Sagar Cement,cement-mini,
Deccan Cements,cement-mini,
Kakatiya Cement,cement-mini,
HIL,cement-products-building-materials,
Ramcoind,cement-products-building-materials,
Orient Refract,cement-products-building-materials,
IFGL Refractory,cement-products-building-materials,
Indian Hume,cement-products-building-materials,
Everest Ind,cement-products-building-materials,
A Infra.,cement-products-building-materials,
Cera Sanitary,ceramics-granite,
Somany Ceramics,ceramics-granite,
Kajaria Ceramic,ceramics-granite,
Elegant Marble,ceramics-granite,
Pokarna,ceramics-granite,
Asian Granito,ceramics-granite,
Nitco,ceramics-granite,
HSIL,ceramics-granite,
Orient Bell,ceramics-granite,
Inani Marbles,ceramics-granite,
Tata Chemicals,chemicals,
Pidilite Ind,chemicals,
UPL,chemicals,
Guj Alkali,chemicals,
Guj Flourochem,chemicals,
Deepak Nitrite,chemicals,
Navin Fluorine,chemicals,
Phillips Carbon,chemicals,
S H Kelkar,chemicals,
Excel,chemicals,
Himadri Special,chemicals,
Thirumalai Chem,chemicals,
Elantas Beck,chemicals,
Kanoria Chem,chemicals,
Chembond Chem,chemicals,
Standard Ind,chemicals,
Camlin Fine,chemicals,
Transpek,chemicals,
Paushak Ltd,chemicals,
IG Petro,chemicals,
Sree Rayalaseem,chemicals,
Vinati Organics,chemicals,
Narmada Gelatin,chemicals,
Balaji Amines,chemicals,
Aarti Ind,chemicals,
Panama Petro,chemicals,
Fineotex Chem,chemicals,
Laffans Petro,chemicals,
Mysore Petro,chemicals,
India Gelatine,chemicals,
Solar Ind,chemicals,
India Glycols,chemicals,
Shree Pushkar,chemicals,
Andhra Petro,chemicals,
Indo Borax,chemicals,
Insilco,chemicals,
Jayant Agro-Org,chemicals,
Cochin Minerals,chemicals,
